original_filename,page,file_url,platform_link,InvoiceNumber,Project_Name,Total,InvoiceDate,SupplierName,Unit_Price,Amount,Qty,Item,Description,col1,col2,col3
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 32,096.00",,11,Fine Grade Site,"3 
32,098.00",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 18,200.00",,12,Cut Curb & Sidewalk Grade,"18,200.00 | $",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 11,300.00",,13,Backfill Curbs,"11,300.00 $",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 4,320.00",,14,Fine Grade for PCCP,"4,320.00 $",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 32,830.00",,15,"18 "" Lime Under Asphalt Paving","32,830.00 $",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"15,920.00 $",,16,"12 "" Lime Under PCCP","S 15,920.00",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"14,405.00 $",,17,Place Geo Fabric,"S 14,405.00",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"13,384.00 $",,18,Fine Grade for Asphalt Paving,"S 13,384.00",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 83,456.00",,19,"Pave 4 "" AC on 8 "" ABC","S 83,456.00",,
Screenshot 2023-11-13 155200.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/36afdbde-8297-451e-b21a-71615d9ed768.jpeg?expires=1699887122&or=0&s=95753895d5a037395793d5185ba5dab4,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ed91880c-8211-11ee-ac7b-3e4046c83b8b,14,PFG Phoenix Additions,"$ 1,120,945.43",08/21/23,"Gunsight Construction Companies , LLC",,"$ 162,702,00",,20,Pave 6 AC on ABC,"$ 162,702,00",,
