original_filename,page,file_url,platform_link,Project_Name,InvoiceNumber,Total,InvoiceDate,SupplierName,Amount,Item,Description,Qty,Unit_Price,col1,col2
Screenshot 2023-11-13 155554.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1b9ada91-c603-417d-99ac-6cb4c9253fd9.jpeg?expires=1699888736&or=0&s=e64f745dcc2e78218c7c4df9c9e82bf6,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c71aea96-8215-11ee-ad5b-bac83bbe97e6,EX - 22-0005 /,,"31,058.00",7/25/2023,"Onyx
","$ 99,792.000",10,Load / Oversize Seg / Stockpile,"133,056.00",$ 0.75,CY,
Screenshot 2023-11-13 155554.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1b9ada91-c603-417d-99ac-6cb4c9253fd9.jpeg?expires=1699888736&or=0&s=e64f745dcc2e78218c7c4df9c9e82bf6,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c71aea96-8215-11ee-ad5b-bac83bbe97e6,EX - 22-0005 /,,"31,058.00",7/25/2023,"Onyx
","$ 208,970.00",20,Hauling - West Boylston Pit,"41,794.00",$ 5.00,CY,
Screenshot 2023-11-13 155554.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1b9ada91-c603-417d-99ac-6cb4c9253fd9.jpeg?expires=1699888736&or=0&s=e64f745dcc2e78218c7c4df9c9e82bf6,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c71aea96-8215-11ee-ad5b-bac83bbe97e6,EX - 22-0005 /,,"31,058.00",7/25/2023,"Onyx
","$ 524,765.50",30,Hauling - Sterling Pit,"91,262.00",$ 5.75,CY,
Screenshot 2023-11-13 155554.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/1b9ada91-c603-417d-99ac-6cb4c9253fd9.jpeg?expires=1699888736&or=0&s=e64f745dcc2e78218c7c4df9c9e82bf6,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c71aea96-8215-11ee-ad5b-bac83bbe97e6,EX - 22-0005 /,,"31,058.00",7/25/2023,"Onyx
","$ 136,387.50",40,Material Hauling - Hourly Rate,909.25,$ 150.00,HR,
