original_filename,page,file_url,platform_link,Project_Name,Total,InvoiceNumber,SupplierName,InvoiceDate,Description,Unit_Price,Amount,Qty,Item,col1,col2
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,"Fuse & Install 12 "" HDPE Relief",$ 77.11,"$ 13,879.80",180.00,CO10A,LF,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Crush / RepL Rubble Fills MH2,$ 291.10,"$ 64,042,00",220.00,CO10B,LF,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Manholes # 1 & 2,"$ 4,816.86","$ 9,633.72",2.00,CO10C,EA,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Cleanout Manholes,"$ 2,753.37","$ 5,506.74",2.00,CO10D,EA,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Crush / Repl Rubb Fill - Curtain D,$ 417.81,"$ 33,424.80",80.00,CO10E,LF,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Curtain Drain,$ 313.20,"$ 103,356.00",330.00,CO10F,LF,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Clearing & Silt Fence,"$ 4,000.00","$ 4,000.00",1.00,CO10G,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,Revised Testing Costs,"$ 7,528.50","$ 7,528.50",1.00,CO19A,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,"Submitted on 10/23/22 
Additional 30 LF","$ 2,596.36","$ 2,596.36",1.00,CO198,LS,
Screenshot 2023-11-13 155946.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/e67e8fbf-afec-40e1-9359-ebc49c547f8c.jpeg?expires=1699889649&or=0&s=f734767ddd05768e3ad8338fd6be4405,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ce1fa6c9-8215-11ee-a330-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wi,,922868,,8/25/2023,,"$ 3,214.50","$ 3,214.50",1.00,CO19C,LS,
