original_filename,page,file_url,platform_link,SupplierName,Total,InvoiceNumber,Project_Name,InvoiceDate,Qty,Item,Amount,Unit_Price,Description,col1,col2
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,1.00,70,"$ 5,324.92","$ 5,324.92",Pulverize Asphalt Parkling,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,"20,000.00",72,"$ 93,000.00",$ 4.65,"Strip & Stockpile Loam ( 12 "" ) 
Excavate & Place Fills",,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,"111,000.00",75,"$ 313,020.00",$ 2.82,Excavate & Place Fills,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,803.00,80,"$ 86,041.45",$ 107.15,"6 "" Sch40 - Mailine Sewer & Manhole 
Septic Tanks",,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,1.00,85,"$ 50,578.52","$ 50,578.52",Septic,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,1.00,"86 
87","$ 19,216.13","$ 19,216.13","Pump Chamber Tank # 1/1 HP Pump 
Dosing Chamber Tank / 3HP Pumps",,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,1.00,87,"$ 55,185.22","$ 55,185.22","Dosing Chamber Tank / 3HP Pumps 
6 "" Sewer Services",,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,140.00,"90 
95","$ 4,947.60",$ 35.34,"6 "" Sewer Services 
Force Main - 2 """,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,"850.00 
400.00",95,"$ 21,462.50",$ 25.25,,,
Screenshot 2023-11-13 155812.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/d2fced12-5b29-4f26-ae8d-fe731f044b91.jpeg?expires=1699889177&or=0&s=0eaad473c17f7fd0075d58121ae7a265,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca1a87da-8215-11ee-9e9e-fe89fc1b1c11,,,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,2/25/2023,400.00,96,"$ 11,584.00",$ 28.96,"Force Main - 4 "" to Septic Syst",,
