original_filename,page,file_url,platform_link,Project_Name,SupplierName,Total,InvoiceDate,InvoiceNumber,Description,Qty,Unit_Price,Item,Amount,col1,col2
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,"Fuse & Install 12 "" HDPE Relief",180.00,$ 77.11,CO10A,"$ 13,879.80",LF,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Crush / RepL Rubble Fills MH2,220.00,$ 291.10,CO10B,"$ 64,042.00",LF,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Manholes # 1 & 2,2.00,"$ 4,816.86",CO10C,"$ 9,633.72",EA,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Cleanout Manholes,2.00,"$ 2,753.37",CO10D,"$ 5,506.74",EA,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Crush / Repl Rubb Fill - Curtain D,80.00,$ 417.81,CO10E,"$ 33,424.80",LF,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Curtain Drain,330.00,$ 313.20,CO10F,"$ 103,356.00",LF,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Clearing & Silt Fence,1.00,"$ 4,000.00",CO10G,"$ 4,000.00",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Revised Testing Costs,1.00,"$ 7,528.50",CO19A,"$ 7,528.50",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Submitted on 10/23/22,1.00,"$ 2,596.36",CO19B,"$ 2,596.36",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Additional 30 LF,1.00,"$ 3,214.50",CO19C,"$ 3,214.50",LS,
Screenshot 2023-11-13 155722.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/10b47374-bae9-44c5-8298-03fe6f787ca2.jpeg?expires=1699889035&or=0&s=9770399e8cebd277e576c577da5b400f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c8287b00-8215-11ee-a2f8-9a6fe7277230,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,,2/15/2023,922334,Line Striping & Signs @ Park L,1.00,"$ 20,607.94",CO19D,"$ 20,607.94",LS,
