original_filename,page,file_url,platform_link,InvoiceNumber,SupplierName,Project_Name,Total,InvoiceDate,Item,Unit_Price,Description,Amount,Qty,col1,col2
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,72,"$ 5,324.92","Strip & Stockpile Loam ( 12 "" )","$ 5,324.92",1.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,75,"$ 4.65 
$ 2.82",Excavate & Place Fills,"$ 93,000.00","20,000.00 
111,000.00",,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,80,"$ 2.82 
$ 107.15","6 "" Sch40 - Mailine Sewer & Manhole","$ 313,020.00 
$ 86,041.45",803.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,85,"107.15 
$ 50,578.52",Septic Tanks,"86,041.45 
$",1.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,86,"50,578.52 
$ 19,216.13",Pump Chamber Tank # 1/1 HP Pump,"$ 50,578.52 
$",1.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,87,"$ 55,185.22",Dosing Chamber Tank / 3HP Pumps,"$ 19,216.13 
$ 55,185.22",1.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,90,$ 35.34,"6 "" Sewer Services","$ 4,947.60",140.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,95,$ 25.25,"Force Main - 2 ""","$ 21,462.50",850.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,96,$ 28.96,"Force Main - 4 "" to Septic Syst","$ 11,584.00",400.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,98,"249,860.15",Presby - Septic Systems & Sand,"$ 249,860.15",1.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,99,"$ 6,798.94",Valve Pit Manhole - 5 ' Dia,"$ 6,798.94",1.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,100,"$ 7,288.20",Cleanout Manhole,"$ 7,288.20",1.00,,
Screenshot 2023-11-13 155632.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/734fe678-dc5c-414b-a6fa-b9bc9757f5aa.jpeg?expires=1699888870&or=0&s=2e026771d7099b43c0fe2ce0f2be937d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/c75bc336-8215-11ee-a2f4-9a6fe7277230,922334,,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/15/2023,105 8,"264,315.78","8 "" Dia Water Main","$ 264,315.78",1.00,,
