original_filename,page,file_url,platform_link,Project_Name,SupplierName,InvoiceDate,InvoiceNumber,Total,Item,Amount,Unit_Price,Qty,Description,col1,col2
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,600,"$ 58,963.45","$ 58,963.45",1.00,Roadway Widening - Headwall / Curb,,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,720,"$ 112,395.00",$ 3.81,"29,500.00",Base Orange - Exc / Recompact,,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,730,"$ 81,060.00",$ 3.86,"21,000.00",Base Blue - Exc / Recompact,,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,740,"$ 328,960.00",$ 12.85,"25,600.00",Base Purple / Exc & Jaw Crush,,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,750,"$ 99,666.00",$ 2.94,"33,900.00",Alt - Purple - Exc & Refill,,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,760,"$ 200,600.00",$ 2.95,"68,000.00",Alt - Green - Exc & Refill,,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,1010,"$ 23,375.88","$ 23,375.88",1.00,"Turnkey @ Widening Paving - 4 """,,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,1070,"$ 16,249.06",$ 228.86,71.00,Backfill Dock Pits,,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,1100,"$ 215,000.00","215,000.00",1.00,Unclassified Excavation,,
Screenshot 2023-11-13 155831.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/91f0a0ff-3f25-4973-b0b3-900de71976d6.jpeg?expires=1699889285&or=0&s=78b43d05a701ac5c7e048e91202a193f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/ca2d9e18-8215-11ee-a6e5-3e4046c83b8b,EX - 21-0013 / ARCO - Lunenburg Spec Wa,,2/25/2023,,,,"5,935,139.82",,,,,
