original_filename,page,file_url,platform_link,Total,Project_Name,SupplierName,InvoiceDate,InvoiceNumber,Amount,Qty,Unit_Price,Item,Description,col1
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 370,112.00",1.0,"$ 370,112.00",11,Lift Station,EA
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 5,325.00",3.0,"$ 1,775.00",12,Single Service Connection,EA
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 2,645.00",1.0,"$ 2,645.00",13,Sanitary Sewer System Testing,LS
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 1,890.00",1.0,"$ 1,890.00",14,Air Testing,LS
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 4,505.00",1.0,"$ 4,505.00",15,"6 "" x 4 "" Tapping Sleeve and Valve",EA
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 1,995.00",100.0,$ 19.95,16,"4 "" PVC DR18",LF
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 3,955.00",1.0,"$ 3,955.00",17,"4 "" Plug Valve and Box",EA
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 4,015.00",100.0,$ 40.15,18,"8 "" PVC SDR 11 Casing",LF
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,$ 390.00,1.0,$ 390.00 ( 0 ),19,Restrained Joints,LS
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,$ 123.00,1.0,$ 123.00,20,Pressure Test Forcemain,LS
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,$ 925.00,1.0,$ 925.00,21,"4 "" Cap / TBO",EA
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 4,305.00",1.0,"$ 4,305.00",22,Trench Box / Shoring,LS
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,$ 615.00,1.0,$ 615.00,23,Offsite Restoration,LS
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,$ 246.00,20.0,$ 12.30,24,"Remove 4 "" Sidewalk 
4 "" Thick Concrete Sidewalk Non",LF
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,$ 535.00,100.0,$ 5.35,25,reinforced,SF
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,"$ 39,970.77",1.0,"$ 39,970.77",26,Open Cut and Restore Asphalt,LS
3-25-4.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/24e9cfe0-072b-4dc2-926b-d0e52363299c-1.jpeg?expires=1699312542&or=0&s=e9493c63aeee3ff68c24cfde4a0a541d,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/0c868f66-7cd8-11ee-b2e9-0a5d580da23f,"$ 708,379.62",Manatee County Logistics,"DEME CONSTRUCTION , LLC",03/25/23,22004-10,,,,,,
