original_filename,page,file_url,platform_link,SupplierName,Total,InvoiceDate,InvoiceNumber,Project_Name,Item,Unit_Price,Qty,Description,Amount,col1,col2,col3
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,11,,,Fine Grade Site,"$ 32,096.00","$ 32,096,00",,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,12,,,Cut Curb & Sidewalk Grade |,"Is S 18,200.00","S 18,200.00",,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,13,,,Backfill Curba,"$ 11,300.00","$ 11,300.00",,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,14,,,Fine Grade for PCCP,"$ 4,320.00","S 4,320.00",,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,15,,,8 Lime Under Asphalt Paving,"$ 32,830.00",$ 32.830.00,,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,16,,,12 Lime Under PCCP,"S $ 15,920.00","$ 15.920,00",,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,17,,,Place Geo Fabric,"|| $ 14,405.00","S 14,405.00",,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,18,,,Fine Grade for Asphalt Paving,"S 13,384.00","S 13,384.00",,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,19,,,"Pave 4 "" AC on 8 "" ABC","$ 83,456.00","$ 83,458,00",,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,20,,,"Pave 6 "" AC on 9 ABC","$ 162,702.00","$ 162,702.00",,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,21,,,"Install 12 "" ABC Accoss Road",S34.320.00,$ 34.320.00,,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,22,,,Patch 4 AC on 8 ABC,"$ 24,811.00","$ 24,811.00",,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,23,,,C01,"7,439.18 $",S,-S7.439.18,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,24,,,CO :,"1,176,88 $",S -,$ 1.176.88,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,25,,,CO4,895.85 S,$ -,$ 895.85,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,26,,,COS,$ 488.05,$,$ 488.05,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,27,,,CO,$ 258.75,$ -S,$ 258.75,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,3 28,,,COT,S 647.08,$ -,$ 647.08,
Screenshot 2023-11-13 154918.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/6180bf2f-fab9-42ab-8d8b-3f9b3ea6688f.jpeg?expires=1699887501&or=0&s=4faeea74beacdbacbc78606c0ecadbf2,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/efa78522-8211-11ee-aa0b-d6868720ab9a,"Gunsight Construction Companies , LLC","862,196.20",01/24/2023,10,PROJECT NAME : PFG Phoenix Additions,29,,,CO8,"S 2,279.41",. S,$ 2.279.41,
