original_filename,page,file_url,platform_link,Project_Name,InvoiceDate,Total,SupplierName,InvoiceNumber,Qty,Description,Item,Unit_Price,Amount,col1,col2,col3,col4
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Fine Grade Site,11,,"$ 30,000.00","$ 32,096.00",,"$ 32,096.00",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Cut Curb & Sidewalk Grade,12,,"$ 18,200.00","$ 18,200.00",,"$ 18,200.00",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Backfill Curbs,13,,"11,300.00",$ 11.300.00,,"$ 
11,300.00",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Fine Grade for PCCP,14,,$ 4.320.00,$ 4.320.00,,"4,320.00 $",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Lime Under Asphalt Paving,15,,"$ 32,830.00",S 32.830.00,,"32,830.00 $",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,12 Lime Under PCCP,16,,"$ 15,020.00","S 
15.920.00",,"15,920.00 $",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Place Geo Fabric,17,,$ 14.405.00,"S 
14.405.00",,"14,405.00 $",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Fine Grade for Asphat Paving,18,,"$ 13,384.00","3 13,384.00",|,"$ 13,384.00",
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,"Pave 4 "" AC on 8 "" ABC",19,,$ 83.456.00,$ 83.456.00,,$ 83.456.00,
Screenshot 2023-11-13 155136.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fe51b557-e3e9-4a07-8a37-d4861a562af5.jpeg?expires=1699887224&or=0&s=5319283d65e68b47d6976d39cd99c44f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/edadd59e-8211-11ee-aa04-d6868720ab9a,PROJECT NAME : PFG Phoenix Additions,05/19/23,"1,012,244.01","13 Gunsight Construction Companies , LLC",,,Pave 6 AC on 9 ABC,20,,3 162.702.00,$ 162.702.00,,"S 162,702.00",
