Month,Total,SupplierName
2023-05,230529.0,Knight Trenching and Excavating
2023-06,264124.5,Knight Trenching and Excavating
2023-07,264124.5,Knight Trenching and Excavating
2023-08,313720.35,Knight Trenching and Excavating
2023-09,313720.35,Knight Trenching and Excavating
