original_filename,page,file_url,platform_link,Project_Name,InvoiceDate,InvoiceNumber,SupplierName,Total,Item,Description,Amount,Unit_Price,Qty,col1,col2
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO10A,"Fuse 
/ RepL Rubble Fills MH2","$ 64,042.00",$ 291.10,220.00,LF,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,"CO10B 
CO10C","Crush / RepL 
Manholes # 1 & 2","$ 9,633.72","$ 4,816.86",2.00,EA,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO10C,Manholes,"$ 5,506.74","$ 2,753.37",2.00,EA,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO10D,"Cleanout Manholes 
Fill - Curtain D","$ 33,424.80",$ 417.81,80.00,LF,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO10E,"Crush / Repl Rubb Fill 
Curtain Drain","$ 103,356.00",$ 313.20,330.00,LF,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO10F,Fence,"$ 4,000.00","$ 4,000.00",1.00,LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO10G,Clearing & Silt Fence,"$ 7,528.50","$ 7,528.50",1.00,LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO19A,"Revised Testing Costs 
10/23/22","$ 2,596.36","$ 2,596.36",1.00,LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO19B,Submitted on,"$ 3,214.50","$ 3,214.50",1.00,LS,
Screenshot 2023-11-13 155854.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/33ba7383-48c8-43af-b158-af1ddcdc20b7.jpeg?expires=1699889357&or=0&s=2393f6f8c5e7be695864c06b6e244ba9,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb4a75a-8215-11ee-a114-d6868720ab9a,EX - 21-0013 / ARCO - Lunenburg Spec We,2/25/2023,,,,CO19C,Additional 30 LF,"$ 20,607.94","$ 20,607.94",1.00,LS,
