Month,Total,SupplierName
2023-03,15766925.64,Deme Construction LLC
2023-05,15766925.64,Deme Construction LLC
2023-06,15766924.1,Deme Construction LLC
2023-07,7562487.1,Deme Construction LLC
2023-08,7562487.1,Deme Construction LLC
