original_filename,page,file_url,platform_link,InvoiceDate,InvoiceNumber,SupplierName,Project_Name,Total,Description,Item,Amount,Unit_Price,Qty,col1,col2
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00","8 "" x 2 "" MJ Tee",13,"$ 1,866.00",$ 622.00,3.0,EA,
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00","10 "" x 8 MJ Reducer",14,$ 588.00,$ inn 588.00,1.0,EA,
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00","10 "" x 6 "" MJ Reducer",15,"$ 1,809.00",$ o 603.00,3.0,EA,
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00","8 "" x 6 "" MJ Reducer 
10-90 MJ Bend","16 
17","$ 
$ 447.00 
857.00","$ 
$ 447.00 
857.00","1.0 
1.0","EA 
EA",
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00","10 "" -45 MJ Bend",18,"$ 7,230.00",innifer $ 723.00,10.0,EA,
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00","10 "" -22 1/2 MJ Bend",19,"$ 1,444.00",$ 722.00,2.0,EA,
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00","8 "" -90 MJ Bend",20,$ 549.00,$ 549.00,1.0,EA,
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00","8 "" -45 ° MJ Bend",21,"$ 1,545.00",$ 515.00,3.0,EA,
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00","Fire Hydrant Assembly 
8 "" Check Valve","22 
23","$ 
$ 57,900.00 
24,360.00","$ 
$ 5,790.00 
8,120.00","10.0 
3.0","EA 
EA",
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00",FDC,24,"$ 7,650.00","$ 2,550.00",3.0,EA,
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00","10 "" Compound Master Water Meter",,,,,,
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00","Assembly 
2 "" Cap / TBO","25 
26","$ 
$ 33,580.00 
2,604.00","$ 
$ 33,580.00 
868.00","1.0 
3.0","EA 
EA",
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00","8 "" Cap / TBO",27,"$ 2,949,00",$ 983.00,3.0,EA,
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00","8 "" Stainless Steer Fire Riser",28,"$ 6,945.00","$ 2,315.00",3.0,EA,
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00",2 * Water Service to Lift Station,29,$ 3.020.00,$ 3.020.00,1.0,EA,
DemeConstruction2-6.pdf,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/a7c17051-325f-4e94-a812-d5bfd514d05d-1.jpeg?expires=1699884752&or=0&s=d493549be13db2e3842ac81ca8977610,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/cbb84e4b-7ce9-11ee-8f83-7e502dc2fec3,06/23/23,22004-13,"DEME CONSTRUCTION , LLC",Manatee County Logistics Ste,"8,204,437.00",Restrained Joints,30,"$ 32,565,00","$ 32,565.00",1.0,LS,
