original_filename,page,file_url,platform_link,InvoiceNumber,Project_Name,SupplierName,InvoiceDate,Total,Qty,Item,Description,Unit_Price,Amount,col1,col2
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",65 5.0 с,11,Concrete Flume,"69 2,830.00 $","$ 14,150.00",EA,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",1.0,12,Control Structure,"8,975.00 $","$ 8,975.00",EA,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",12.0,13,Grate Inlet,"3,985.00 $ 69","$ 47,820.00",1 EA,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",18.0,14,Junction Box,"4,295.00 69 $","$ 77,310.00",1 EA,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",6.0,15,"24 "" Flared End Section","3,555.00 69 $","21,330.00 $",1 EA,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",1.0,16,"42 "" Flared End Section","5,215.00 $","5,215.00 $",EA,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",1.0,17,"48 "" Flared End Section","$ 6,235.00 LA","$ 6,235.00",EA,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",1.0,18,"48 "" Dual Flared End Section","11,590.00 $ SA","$ 11,590.00",EA,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",8.0,19,Brick Storm Plug,865.00 $,"6,920.00 $",EA,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",1.0,20,Storm System Testing,"13,850.00 $","$ 13,850.00",LS,
Screenshot 2023-11-09 235558.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/da009d86-ca82-4b25-a2f4-ff95ecca7bdf.jpeg?expires=1699884636&or=0&s=0d565eddf0c46c27c864965bdbb704e3,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/88dccc52-7f2d-11ee-845d-96b3a312d3ac,22004-15,Manatee County Logistics,"DEME CONSTRUCTION , LLC",08/25/23,"1,248,323.90",18.0,21,Downspout Connections,"$ 1,990.00","$ 35,820.00",EA,
