original_filename,page,file_url,platform_link,Project_Name,SupplierName,Total,InvoiceDate,InvoiceNumber,Amount,Qty,Unit_Price,Description,Item,col1,col2,col3
Screenshot 2023-11-09 235428.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fbbee66f-0d68-40dc-843d-fdb1a2067edb.jpeg?expires=1699576789&or=0&s=b4ef8961bc2f863612405ea9d4411c92,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83d40c0b-7f2d-11ee-b29f-eab4b7611829,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900","$ 1,248,323.90",07/25/23,22004-14,"$ 14,150.00",5.0,"2,830.00 $",Concrete Flume,11,EA,,
Screenshot 2023-11-09 235428.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fbbee66f-0d68-40dc-843d-fdb1a2067edb.jpeg?expires=1699576789&or=0&s=b4ef8961bc2f863612405ea9d4411c92,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83d40c0b-7f2d-11ee-b29f-eab4b7611829,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900","$ 1,248,323.90",07/25/23,22004-14,"$ 8,975.00",1.0,"8,975.00 $",Control Structure,12,EA,,
Screenshot 2023-11-09 235428.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fbbee66f-0d68-40dc-843d-fdb1a2067edb.jpeg?expires=1699576789&or=0&s=b4ef8961bc2f863612405ea9d4411c92,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83d40c0b-7f2d-11ee-b29f-eab4b7611829,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900","$ 1,248,323.90",07/25/23,22004-14,"$ 47,820.00",12.0,"$ 3,985.00",Grate Inlet,13,EA,,
Screenshot 2023-11-09 235428.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fbbee66f-0d68-40dc-843d-fdb1a2067edb.jpeg?expires=1699576789&or=0&s=b4ef8961bc2f863612405ea9d4411c92,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83d40c0b-7f2d-11ee-b29f-eab4b7611829,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900","$ 1,248,323.90",07/25/23,22004-14,"$ 77,310.00",18.0,"$ 4,295.00",Junction Box,14,EA,,
Screenshot 2023-11-09 235428.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fbbee66f-0d68-40dc-843d-fdb1a2067edb.jpeg?expires=1699576789&or=0&s=b4ef8961bc2f863612405ea9d4411c92,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83d40c0b-7f2d-11ee-b29f-eab4b7611829,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900","$ 1,248,323.90",07/25/23,22004-14,"$ 21,330.00",6.0,"3,555.00 $","24 "" Flared End Section",15,EA,,
Screenshot 2023-11-09 235428.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fbbee66f-0d68-40dc-843d-fdb1a2067edb.jpeg?expires=1699576789&or=0&s=b4ef8961bc2f863612405ea9d4411c92,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83d40c0b-7f2d-11ee-b29f-eab4b7611829,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900","$ 1,248,323.90",07/25/23,22004-14,"$ 5,215.00",1.0,"$ 5,215.00","42 "" Flared End Section",16,EA,,
Screenshot 2023-11-09 235428.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fbbee66f-0d68-40dc-843d-fdb1a2067edb.jpeg?expires=1699576789&or=0&s=b4ef8961bc2f863612405ea9d4411c92,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83d40c0b-7f2d-11ee-b29f-eab4b7611829,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900","$ 1,248,323.90",07/25/23,22004-14,"$ 6,235.00",1.0,"$ 6,235.00","48 "" Flared End Section",17,EA,,
Screenshot 2023-11-09 235428.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fbbee66f-0d68-40dc-843d-fdb1a2067edb.jpeg?expires=1699576789&or=0&s=b4ef8961bc2f863612405ea9d4411c92,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83d40c0b-7f2d-11ee-b29f-eab4b7611829,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900","$ 1,248,323.90",07/25/23,22004-14,"$ 11,590.00",1.0,"$ 11,590.00","48 "" Dual Flared End Section",18,EA,,
Screenshot 2023-11-09 235428.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fbbee66f-0d68-40dc-843d-fdb1a2067edb.jpeg?expires=1699576789&or=0&s=b4ef8961bc2f863612405ea9d4411c92,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83d40c0b-7f2d-11ee-b29f-eab4b7611829,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900","$ 1,248,323.90",07/25/23,22004-14,"$ 6,920.00",8.0,$ 865.00,Brick Storm Plug,19,EA,,
Screenshot 2023-11-09 235428.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fbbee66f-0d68-40dc-843d-fdb1a2067edb.jpeg?expires=1699576789&or=0&s=b4ef8961bc2f863612405ea9d4411c92,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83d40c0b-7f2d-11ee-b29f-eab4b7611829,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900","$ 1,248,323.90",07/25/23,22004-14,"$ 13,850.00",1.0,"$ 13,850.00",Storm System Testing,20,LS,,
Screenshot 2023-11-09 235428.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fbbee66f-0d68-40dc-843d-fdb1a2067edb.jpeg?expires=1699576789&or=0&s=b4ef8961bc2f863612405ea9d4411c92,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83d40c0b-7f2d-11ee-b29f-eab4b7611829,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900","$ 1,248,323.90",07/25/23,22004-14,"$ 35,820.00",18.0,"$ 1,990.00",Downspout Connections,21,EA,,
Screenshot 2023-11-09 235428.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/fbbee66f-0d68-40dc-843d-fdb1a2067edb.jpeg?expires=1699576789&or=0&s=b4ef8961bc2f863612405ea9d4411c92,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/83d40c0b-7f2d-11ee-b29f-eab4b7611829,Manatee County Logistics,"DEME CONSTRUCTION , LLC, 755-5900","$ 1,248,323.90",07/25/23,22004-14,,,,,,,,
