original_filename,page,file_url,platform_link,InvoiceDate,InvoiceNumber,Total,SupplierName,Project_Name,Amount,Qty,Description,Unit_Price,Item,col1,col2,col3,col4,col5
Screenshot 2023-11-13 160255.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/ae4059f2-2fc9-4b53-aaf5-c3f0be2a16df.jpeg?expires=1699890215&or=0&s=821a28dc686c3c32c7c73d8212f4e886,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6de50c52-8219-11ee-aece-9a6fe7277230,2/20/2023,21096-15,"$ 1.100,902.32",Raymow Construction Company,T - 166 Halkey - Roberts Expansion,,,ADDITIONAL WORK,,,,,,,
Screenshot 2023-11-13 160255.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/ae4059f2-2fc9-4b53-aaf5-c3f0be2a16df.jpeg?expires=1699890215&or=0&s=821a28dc686c3c32c7c73d8212f4e886,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6de50c52-8219-11ee-aece-9a6fe7277230,2/20/2023,21096-15,"$ 1.100,902.32",Raymow Construction Company,T - 166 Halkey - Roberts Expansion,,,CONI Fire hydrant,,X,"2,807.40",,,,
Screenshot 2023-11-13 160255.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/ae4059f2-2fc9-4b53-aaf5-c3f0be2a16df.jpeg?expires=1699890215&or=0&s=821a28dc686c3c32c7c73d8212f4e886,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6de50c52-8219-11ee-aece-9a6fe7277230,2/20/2023,21096-15,"$ 1.100,902.32",Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 2,807.40 
( $ 37,708.82",,"CONI Fire hydrant removal and storage 
CO42",,XI,"$ 2,807.40 
( $ 37,70882 )","$ 2,807.40 
( $ 37,708 82 )","$ 0.00 
$ 0.00","$ 0,00 
$ 0.00",)
Screenshot 2023-11-13 160255.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/ae4059f2-2fc9-4b53-aaf5-c3f0be2a16df.jpeg?expires=1699890215&or=0&s=821a28dc686c3c32c7c73d8212f4e886,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6de50c52-8219-11ee-aece-9a6fe7277230,2/20/2023,21096-15,"$ 1.100,902.32",Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 4,590,60 
$ 1,797.07",,"Reclaim water add scope 
modifications to 
carbalet",,"XII 
XIII","$ 4,590.00 
$ 1,797.07","$ 4,590.60 
$ 1,797,07","$ 0.00 
$ 0.00","$ 0.00 
50.00",
Screenshot 2023-11-13 160255.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/ae4059f2-2fc9-4b53-aaf5-c3f0be2a16df.jpeg?expires=1699890215&or=0&s=821a28dc686c3c32c7c73d8212f4e886,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6de50c52-8219-11ee-aece-9a6fe7277230,2/20/2023,21096-15,"$ 1.100,902.32",Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 814.00 
$ 0.00",,"remove trees ( drive and prop pond bank ) 
Mill overlay stripe south parking lot",,"XIV 
XV","$ 814.00 
$ 0.00","$ 814.00 
$ 0.00","$ 0.00 
$ 0.00","$ 0.00 
$ 0.00",
Screenshot 2023-11-13 160255.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/ae4059f2-2fc9-4b53-aaf5-c3f0be2a16df.jpeg?expires=1699890215&or=0&s=821a28dc686c3c32c7c73d8212f4e886,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6de50c52-8219-11ee-aece-9a6fe7277230,2/20/2023,21096-15,"$ 1.100,902.32",Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,669 25",,"hydratadi per RFT 23 
excavate and repair existing FDC",,"XVI 
XVII","$ 1,669.25 
$ 4,198,55","$ 1,669.25 
$ 4,198.55","50.00 
50.00","$ 0.00 
$ 0.00",
Screenshot 2023-11-13 160255.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/ae4059f2-2fc9-4b53-aaf5-c3f0be2a16df.jpeg?expires=1699890215&or=0&s=821a28dc686c3c32c7c73d8212f4e886,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6de50c52-8219-11ee-aece-9a6fe7277230,2/20/2023,21096-15,"$ 1.100,902.32",Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 4,198.55 
$ 8,000.02",,"lower existing fire line in conf wisdom 
raising structure tops at grate inlet1 and",,"XVIII 
XIX","$ 8,600.02","$ 8,600,02","50.00 
$ 0.00","$ 0.00 
$ 0.00",
Screenshot 2023-11-13 160255.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/ae4059f2-2fc9-4b53-aaf5-c3f0be2a16df.jpeg?expires=1699890215&or=0&s=821a28dc686c3c32c7c73d8212f4e886,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6de50c52-8219-11ee-aece-9a6fe7277230,2/20/2023,21096-15,"$ 1.100,902.32",Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 4,360.00 
$ 2,769.00",,"3 
Add D carb south parking lot",,XX,"$ 4,360.00 
$ 2,769.00","$ 4,360.00 
$ 2,769.00","$ 0.00 
$ 0.00","$ 0.00 
$ 0.00",
Screenshot 2023-11-13 160255.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/ae4059f2-2fc9-4b53-aaf5-c3f0be2a16df.jpeg?expires=1699890215&or=0&s=821a28dc686c3c32c7c73d8212f4e886,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6de50c52-8219-11ee-aece-9a6fe7277230,2/20/2023,21096-15,"$ 1.100,902.32",Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 2,835.60 
$ 5,378.02",,"Addl sidewalk 
Raise hydrants",,"XXI 
XXII","$ 2,335.60 
$ 5,378,00","$ 2,835.60 
$ 315.95","50,00 
$ 4,862.07","50.00 
$ 0.00",
Screenshot 2023-11-13 160255.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/ae4059f2-2fc9-4b53-aaf5-c3f0be2a16df.jpeg?expires=1699890215&or=0&s=821a28dc686c3c32c7c73d8212f4e886,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6de50c52-8219-11ee-aece-9a6fe7277230,2/20/2023,21096-15,"$ 1.100,902.32",Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 2,852.30 
$ 9,132.71",,"Additional mobilization for concrete 
Asphalt escalation",,"XXIII 
XIX","$ 2,852.30 
$ 9,132.71","$ 0,00 
$ 0.00","$ 2,852.30 
$ 9,132.71","$ 0.00 
50.00",
Screenshot 2023-11-13 160255.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/ae4059f2-2fc9-4b53-aaf5-c3f0be2a16df.jpeg?expires=1699890215&or=0&s=821a28dc686c3c32c7c73d8212f4e886,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6de50c52-8219-11ee-aece-9a6fe7277230,2/20/2023,21096-15,"$ 1.100,902.32",Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 5,065.69",,"Additional curb at transformers 
100 sq ft of sidewalk removal and replacement",,"xx 
XXI","$ 5,065.69",$ 0.00,"$ 5,065,69",$ 0.00,
Screenshot 2023-11-13 160255.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/ae4059f2-2fc9-4b53-aaf5-c3f0be2a16df.jpeg?expires=1699890215&or=0&s=821a28dc686c3c32c7c73d8212f4e886,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6de50c52-8219-11ee-aece-9a6fe7277230,2/20/2023,21096-15,"$ 1.100,902.32",Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,222.28",,"at four separate locations on site 
31 Concrete",,XXII,"$ 1,222.28","$ 0.00 
0.00","$ 1,222.28",50,
Screenshot 2023-11-13 160255.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/ae4059f2-2fc9-4b53-aaf5-c3f0be2a16df.jpeg?expires=1699890215&or=0&s=821a28dc686c3c32c7c73d8212f4e886,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6de50c52-8219-11ee-aece-9a6fe7277230,2/20/2023,21096-15,"$ 1.100,902.32",Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 2,236,65",,bumpers,,,"$ 2,236.65 
51,100.902.32","$ 1,075,530.62 $ 0.00","$ 2,236.65",$ 0.00,
