original_filename,page,file_url,platform_link,InvoiceDate,InvoiceNumber,SupplierName,Project_Name,Total,Item,Description,Amount,Qty,Unit_Price,col1,col2,col3,col4,col5
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",,ADDITIONAL WORK,,,,,,,,
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35","X 
XI","CO # 1 Fire hydrant removal and storage 
CO # 2","$ 2,807,40",,,"$ 2,807.40","$ 2,807.40",$ 0.00,$ 0.00,
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",XII,Reclaim water add'l scope,"( $ 37,708.82 ) 
$ 4,590.60",,,"( $ 37,708.82 ) 
$ 4,590.60","( $ 37,708.82 ) 
$ 4,590.60","$ 0.00 
$ 0.00","$ 0.00 
$ 0.00",
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35","XIII 
XIV","modifications to curb inlet 
remove trees ( drive and prop pond bank )","$ 1,797.07 
$ 814.00",,,"$ 1,797.07 
$ 814.00","$ 1,797.07 
$ 814.00","$ 0.00 
$ 0.00","$ 0.00 
$ 0.00",
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35","XV 
XVI","Mill overlay stripe south parking lot 
hydrant adj per RFI 23","$ 0.00 
$ 1,669.25",,,"$ 0.00 
$ 1,669.25","$ 0.00 
$ 1,669.25","$ 0.00 
$ 0.00","$ 0.00 
$ 0.00",
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35","XVII 
XVIII","excavate and repair existing FDC 
lower existing fire line in conf w / storm","$ 4,198.55",,,"$ 4,198.55 
$ 8,600.02","$ 4,198.55 
$ 8,600.02","$ 0,00 
$ 0.00","$ 0.00 
0.00",
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35","XIX 
XX","raising structure tops at grate inlet 1 and 3 
Addl D curb south","$ 8,600.02 
$ 4,360.00",,,"$ 
$ 4,360,00 
2,769.00","$ 4,360.00","$ 0,00 
0.00","$ 
$ 0.00",
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",XXI,Addl sidewalk south parking lot,"$ 2,769.00 
$ 2,835.60",,,"$ 
$ 2,835.60","$ 2,769.00 
$ 2,835.60","$ 0.00 
$ 0.00","$ 0.00 
$ 0.00",
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35","XXII 
XXIII","Raise hydrants 
Additional mobilization for concrete","$ 5,378.02 
$ 2,852.30",,,"$ 5,378.02 
$ 2,852.30","$ 5,378.02 
$ 2,852.30","$ 0.00 
$ 0.00","$ 0.00 
$ 0.00",
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35","XIX 
XX","Asphalt escalation 
Additional curb at transformers","$ 9,132.71 
$ 5,065.69",,,"$ 9,132.71 
$ 5,065.69","$ 9,132.71 
$ 5,065.69","$ 0.00 
$ 0.00","$ 0.00 
$ 0.00",
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",XXI,"100 sq ft of sidewalk removal and replacement 
at four separate locations on site","$ 1,222.28",,,"$ 1,222.28","$ 1,222.28",$ 0.00,"$ 0,00",
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35","XXII 
XXIII","31 Concrete bumpers 
Adden cost","$ 2,236.65 
$ 774.03",,,"$ 2,236.65 
$ 774.03","$ 2,236.65 
$ 0.00","$ 0.00 
$ 774.03","$ 0,00",
Screenshot 2023-11-13 160315.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/8e40ab4c-ced2-4ba9-80d3-36b418c6e783.jpeg?expires=1699890510&or=0&s=5e06d45866e694b273318f943f1ab26a,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/703b9a67-8219-11ee-af32-9a6fe7277230,7/20/2023,21096-16,Raymow Construction Company,T - 166 Halkey - Roberts Expansion,"$ 1,101,676.35",,,$ 774.03,,,,,,,
