original_filename,page,file_url,platform_link,Project_Name,InvoiceNumber,Total,InvoiceDate,SupplierName,Amount,Qty,Item,Description,Unit_Price,col1,col2,col3,col4,col5
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 5,495,00",,IX,Geotextile Under Crane Road,,"$ 5,495,00","$ 5,495.00",$ 0.00,$ 0.00,
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,,,,ADDITIONAL WORK,,,,,,
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,,,X,CO # 1 Fire hydrant removal and storage,,"$ 2,807.40",,$ 0.00,,
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 2,807.40 
( $ 37,708,82 )",,XI,CO # 2,,"( $ 37,708.82 )","$ 2,807.40 
( $ 37,708.82 )",$ 0.00,"$ 0.00 
$ 0.00",
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 4,590.60 
$ 1,797.07",,"XII 
XIII","Reclaim water add'l scope 
modifications to curb inlet",,"$ 4,590.60 
$ 1,797.07","$ 4,590.60 
$ 1,797.07","$ 0.00 
$ 0.00","$ 0.00 
$ 0.00",
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,$ 814.00,,XIV,remove trees ( drive and prop pond bank ),,$ 814.00,$ 814.00,$ 0.00,$ 0.00,
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 0.00 
$ 1,669.25",,"XV 
XVI","Mill overlay stripe south parking lot 
hydrant adj per RFI 23",,"$ 44,081.02 
$ 1,669.25","$ 0.00 
$ 1,669.25","$ 0.00 
$ 0.00","$ 0.00 
$ 0,00",
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 4,198.55",,"XVII 
XVIII","excavate and repair existing FDC 
lower existing fire line in conf w / storm",,"$ 4,198.55 
$ 8,600.02","$ 4,198.55 
$ 8,600.02",$ 0.00,$ 0.00,
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 8,600.02 
$ 4,360.00",,XIX,raising structure tops at grate inlet 1 and 3,,"$ 4,360.00","$ 4,360.00","$ 0.00 
$ 0.00","$ 0,00 
$ 0.00",
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,"$ 2,769.00 
$ 2,835.60",,XXI XX,"Addl D curb south parking lot 
Addl sidewalk",,"$ 2,769.00 
$ 2,835.60","$ 0.00 
$ 0,00","$ 2,769.00 
$ 2,835.60","$ 0.00 
$ 0.00",
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,$$ 15.95,,XXII,Raise hydrants,,$ 515.95,$ 0.00,$ 515.95,$ 0.00,
Screenshot 2023-11-13 160224.jpg,0,https://nnts.imgix.net/uploadedfiles/9f496cdd-b793-459f-8b18-96f333e3abc9/PredictionImages/87c54ccb-2f91-4c10-947c-93f828eb0e45.jpeg?expires=1699890411&or=0&s=851fbfe0fcba44b3a674c8850c6c428f,https://app.nanonets.com/#/ocr/test/9f496cdd-b793-459f-8b18-96f333e3abc9/6f6cd01a-8219-11ee-a328-3e4046c83b8b,T - 166 Halkey - Roberts Expansion,21096-14,"$ 1,075,530,62",1/20/2023,Raymow Construction Company,,,,,,,,,,
